index_id	pc	cn	hi	pi	upi
1	1.0	0	0	0.0000	0.0000
10	47.0	67	3	12.2500	19.9959
100	1.0	2	1	1.0000	1.5000
1000	1.0	0	0	0.0000	0.0000
10000	1.0	1	1	1.0000	1.0000
100000	1.0	0	0	0.0000	0.0000
100001	1.0	0	0	0.0000	0.0000
100002	2.0	0	0	0.0000	0.0000
100003	7.0	6	2	1.5833	2.4653
100004	1.0	0	0	0.0000	0.0000
100005	1.0	0	0	0.0000	0.0000
100006	1.0	0	0	0.0000	0.0000
100007	3.0	0	0	0.0000	0.0000
100008	1.0	0	0	0.0000	0.0000
100009	4.0	15	2	5.5000	3.5833
10001	1.0	0	0	0.0000	0.0000
100010	1.0	0	0	0.0000	0.0000
100011	1.0	0	0	0.0000	0.0000
100012	1.0	1	1	0.2500	0.1458
100013	1.0	0	0	0.0000	0.0000
100014	4.0	3	1	0.9167	1.7431
100015	1.0	0	0	0.0000	0.0000
100016	1.0	0	0	0.0000	0.0000
100017	1.0	1	1	0.3333	0.6111
100018	1.0	0	0	0.0000	0.0000
100019	2.0	0	0	0.0000	0.0000
10002	1.0	0	0	0.0000	0.0000
100020	2.0	0	0	0.0000	0.0000
100021	1.0	0	0	0.0000	0.0000
100022	4.0	2	1	1.3333	1.6111
100023	1.0	0	0	0.0000	0.0000
100024	1.0	0	0	0.0000	0.0000
100025	1.0	0	0	0.0000	0.0000
100026	1.0	0	0	0.0000	0.0000
100027	1.0	0	0	0.0000	0.0000
100028	1.0	0	0	0.0000	0.0000
100029	1.0	1	1	1.0000	1.0000
10003	1.0	6	1	2.0000	0.6667
100030	9.0	8	2	2.0167	1.5631
100031	3.0	0	0	0.0000	0.0000
100032	1.0	0	0	0.0000	0.0000
100033	3.0	1	1	0.2000	0.0900
100034	3.0	0	0	0.0000	0.0000
100035	1.0	0	0	0.0000	0.0000
100036	1.0	0	0	0.0000	0.0000
100037	1.0	1	1	0.2000	0.1567
100038	1.0	0	0	0.0000	0.0000
100039	3.0	0	0	0.0000	0.0000
10004	2.0	34	0	17.0000	8.5000
100040	1.0	0	0	0.0000	0.0000
100041	1.0	0	0	0.0000	0.0000
100042	3.0	2	1	0.3333	0.3167
100043	1.0	0	0	0.0000	0.0000
100044	1.0	9	1	1.5000	0.9250
100045	4.0	7	1	1.7500	1.8958
100046	1.0	0	0	0.0000	0.0000
100047	7.0	10	2	3.5000	1.5833
100048	1.0	0	0	0.0000	0.0000
100049	1.0	0	0	0.0000	0.0000
10005	5.0	7	1	6.2500	6.5208
100050	1.0	0	0	0.0000	0.0000
100051	1.0	0	0	0.0000	0.0000
100052	4.0	2	1	1.0000	0.5000
100053	1.0	1	1	0.2000	0.0400
100054	1.0	0	0	0.0000	0.0000
100055	1.0	1	1	0.3333	0.1111
100056	2.0	0	0	0.0000	0.0000
100057	2.0	0	0	0.0000	0.0000
100058	1.0	0	0	0.0000	0.0000
100059	1.0	0	0	0.0000	0.0000
10006	1.0	0	0	0.0000	0.0000
100060	1.0	0	0	0.0000	0.0000
100061	1.0	0	0	0.0000	0.0000
100062	2.0	5	1	1.6667	3.0556
100063	1.0	1	1	0.5000	0.7500
100064	6.0	27	2	7.6444	4.2195
100065	1.0	0	0	0.0000	0.0000
100066	2.0	0	0	0.0000	0.0000
100067	2.0	11	0	4.8333	6.3611
100068	4.0	3	1	0.7000	0.9289
100069	2.0	8	0	1.5000	1.5083
10007	1.0	0	0	0.0000	0.0000
100070	1.0	0	0	0.0000	0.0000
100071	1.0	1	1	0.2000	0.0900
100072	1.0	0	0	0.0000	0.0000
100073	1.0	0	0	0.0000	0.0000
100074	1.0	0	0	0.0000	0.0000
100075	1.0	0	0	0.0000	0.0000
100076	1.0	1	1	0.2000	0.2567
100077	1.0	0	0	0.0000	0.0000
100078	1.0	0	0	0.0000	0.0000
100079	1.0	0	0	0.0000	0.0000
10008	1.0	0	0	0.0000	0.0000
100080	1.0	1	1	0.3333	0.2778
100081	1.0	0	0	0.0000	0.0000
100082	1.0	9	1	3.0000	1.0000
100083	1.0	0	0	0.0000	0.0000
100084	1.0	0	0	0.0000	0.0000
100085	1.0	1	1	0.2000	0.4567
100086	1.0	0	0	0.0000	0.0000
100087	2.0	0	0	0.0000	0.0000
100088	3.0	1	1	0.3333	0.6111
100089	2.0	3	1	0.6111	0.5540
10009	1.0	6	1	2.0000	0.6667
100090	2.0	1	1	0.3333	0.6111
100091	2.0	0	0	0.0000	0.0000
100092	5.0	11	2	2.4667	2.2989
100093	1.0	1	1	0.2500	0.2708
100094	5.0	1	1	0.3333	0.2778
100095	1.0	0	0	0.0000	0.0000
100096	1.0	0	0	0.0000	0.0000
100097	1.0	0	0	0.0000	0.0000
100098	5.0	0	0	0.0000	0.0000
100099	1.0	0	0	0.0000	0.0000
1001	1.0	0	0	0.0000	0.0000
10010	1.0	0	0	0.0000	0.0000
100100	1.0	0	0	0.0000	0.0000
100101	2.0	0	0	0.0000	0.0000
100102	1.0	1	1	0.3333	0.2778
100103	1.0	0	0	0.0000	0.0000
100104	1.0	1	1	0.2000	0.2567
100105	1.0	0	0	0.0000	0.0000
100106	6.0	0	0	0.0000	0.0000
100107	1.0	8	1	0.8889	0.6628
100108	1.0	0	0	0.0000	0.0000
100109	1.0	3	1	1.0000	0.3333
10011	1.0	0	0	0.0000	0.0000
100110	1.0	0	0	0.0000	0.0000
100111	1.0	0	0	0.0000	0.0000
100112	22.0	38	3	11.6667	19.5500
100113	1.0	0	0	0.0000	0.0000
100114	3.0	3	1	1.1667	0.8056
100115	1.0	0	0	0.0000	0.0000
100116	1.0	0	0	0.0000	0.0000
100117	1.0	0	0	0.0000	0.0000
100118	1.0	0	0	0.0000	0.0000
100119	1.0	1	1	0.3333	0.6111
10012	3.0	5	1	1.6667	1.3889
100120	4.0	2	1	0.5000	1.0417
100121	1.0	0	0	0.0000	0.0000
100122	1.0	0	0	0.0000	0.0000
